OrderID,Date,Month,Year,Quarter,Product,Category,UnitPrice,Quantity,Discount_Pct,Discount_Amt,Revenue,Margin_Pct,Profit,Region,City,Channel,Segment,Returned,CustomerID
ORD-100000,23-03-26,March,2026,Q1,LapBook Air,Electronics,54999,1,15,8249.85,46749.15,41.3,19307.4,North India,Gurugram,Online,SMB,0,CUST-7912
ORD-100001,05-01-26,January,2026,Q1,Galaxy Pro X1,Electronics,24999,2,15,7499.7,42498.3,38.9,16531.84,North India,Noida,Online,Enterprise,0,CUST-4611
ORD-100002,27-02-26,February,2026,Q1,Sofa 3-Seater,Furniture,24999,4,0,0,99996,29.2,29198.83,North India,Jaipur,Online,New/Trial,0,CUST-6514
ORD-100003,14-01-26,January,2026,Q1,AirBuds Ultra,Electronics,5999,1,15,899.85,5099.15,33.9,1728.61,South India,Hyderabad,Offline,Retail,0,CUST-7201
ORD-100004,11-01-26,January,2026,Q1,Bookshelf 5-Tier,Furniture,3499,5,0,0,17495,40.3,7050.48,North India,Chandigarh,Offline,New/Trial,0,CUST-4733
ORD-100005,09-04-26,April,2026,Q2,Sports Backpack,Apparel,1599,4,15,959.4,5436.6,43.7,2375.79,East India,Bhubaneswar,Partner,Retail,0,CUST-6820
ORD-100006,27-01-26,January,2026,Q1,Winter Jacket,Apparel,4599,2,10,919.8,8278.2,41,3394.06,West India,Nashik,Offline,Retail,0,CUST-7216
ORD-100007,04-02-26,February,2026,Q1,Bookshelf 5-Tier,Furniture,3499,2,20,1399.6,5598.4,22.8,1276.44,North India,Gurugram,Offline,New/Trial,0,CUST-5386
ORD-100008,09-01-26,January,2026,Q1,Running Shoes Pro,Apparel,3499,4,5,699.8,13296.2,45,5983.29,East India,Ranchi,Partner,Retail,0,CUST-3340
ORD-100009,03-02-26,February,2026,Q1,TabMax 12,Electronics,32999,4,10,13199.6,118796.4,32.4,38490.03,North India,Lucknow,Online,Retail,0,CUST-3266
ORD-100010,07-03-26,March,2026,Q1,Office Chair,Furniture,8999,2,20,3599.6,14398.4,39.7,5716.16,North India,Delhi,Partner,SMB,0,CUST-7304
ORD-100011,18-02-26,February,2026,Q1,Wardrobe 4-Door,Furniture,18999,1,15,2849.85,16149.15,40.7,6572.7,East India,Ranchi,Online,Retail,0,CUST-9797
ORD-100012,07-04-26,April,2026,Q2,Winter Jacket,Apparel,4599,4,0,0,18396,46.8,8609.33,West India,Ahmedabad,Online,Retail,0,CUST-5315
ORD-100013,06-03-26,March,2026,Q1,Cotton Slim Fit Shirt,Apparel,1299,5,10,649.5,5845.5,27.2,1589.98,South India,Bengaluru,Partner,Retail,0,CUST-3646
ORD-100014,11-03-26,March,2026,Q1,Study Table,Furniture,5999,3,20,3599.4,14397.6,43,6190.97,East India,Ranchi,Online,Enterprise,0,CUST-4946
ORD-100015,14-03-26,March,2026,Q1,AirBuds Ultra,Electronics,5999,5,20,5999,23996,25.3,6070.99,North India,Agra,Offline,New/Trial,0,CUST-3705
ORD-100016,03-02-26,February,2026,Q1,Study Table,Furniture,5999,2,15,1799.7,10198.3,30.1,3069.69,West India,Surat,Partner,New/Trial,1,CUST-7118
ORD-100017,26-02-26,February,2026,Q1,Study Table,Furniture,5999,5,10,2999.5,26995.5,28,7558.74,South India,Chennai,Online,Retail,0,CUST-2163
ORD-100018,01-04-26,April,2026,Q2,SmartWatch S5,Electronics,12999,2,0,0,25998,39.4,10243.21,North India,Delhi,Partner,SMB,0,CUST-3167
ORD-100019,03-04-26,April,2026,Q2,Sofa 3-Seater,Furniture,24999,2,0,0,49998,24.5,12249.51,South India,Chennai,Offline,New/Trial,0,CUST-7939
ORD-100020,22-02-26,February,2026,Q1,Sanitizer 500ml,FMCG,199,1,0,0,199,32.5,64.67,West India,Mumbai,Offline,New/Trial,0,CUST-2790
ORD-100021,01-02-26,February,2026,Q1,Running Shoes Pro,Apparel,3499,4,0,0,13996,44.7,6256.21,North India,Agra,Online,SMB,0,CUST-2604
ORD-100022,07-01-26,January,2026,Q1,Bookshelf 5-Tier,Furniture,3499,2,5,349.9,6648.1,34.6,2300.24,West India,Mumbai,Partner,New/Trial,0,CUST-7570
ORD-100023,08-01-26,January,2026,Q1,Cotton Slim Fit Shirt,Apparel,1299,4,0,0,5196,33,1714.68,South India,Kochi,Online,New/Trial,1,CUST-8973
ORD-100024,20-01-26,January,2026,Q1,Running Shoes Pro,Apparel,3499,3,0,0,10497,23.3,2445.8,North India,Delhi,Offline,Retail,0,CUST-9701
ORD-100025,21-01-26,January,2026,Q1,SmartWatch S5,Electronics,12999,1,15,1949.85,11049.15,44.4,4905.82,East India,Kolkata,Partner,SMB,0,CUST-5033
ORD-100026,16-03-26,March,2026,Q1,Wardrobe 4-Door,Furniture,18999,5,0,0,94995,46.3,43982.68,North India,Delhi,Online,Retail,0,CUST-6147
ORD-100027,31-01-26,January,2026,Q1,Winter Jacket,Apparel,4599,1,0,0,4599,33.9,1559.06,South India,Coimbatore,Offline,Retail,1,CUST-2638
ORD-100028,10-01-26,January,2026,Q1,Bookshelf 5-Tier,Furniture,3499,1,0,0,3499,31.6,1105.68,North India,Gurugram,Online,Retail,0,CUST-9900
ORD-100029,01-04-26,April,2026,Q2,Sports Backpack,Apparel,1599,5,0,0,7995,46.2,3693.69,West India,Nashik,Online,Retail,0,CUST-3200
ORD-100030,03-02-26,February,2026,Q1,LapBook Air,Electronics,54999,5,0,0,274995,40.7,111922.96,West India,Nashik,Offline,Retail,0,CUST-5325
ORD-100031,06-03-26,March,2026,Q1,Office Chair,Furniture,8999,3,0,0,26997,22.1,5966.34,North India,Jaipur,Online,Retail,0,CUST-5291
ORD-100032,21-01-26,January,2026,Q1,Sanitizer 500ml,FMCG,199,2,10,39.8,358.2,22.9,82.03,South India,Kochi,Offline,SMB,0,CUST-3426
ORD-100033,25-02-26,February,2026,Q1,TabMax 12,Electronics,32999,1,0,0,32999,27.5,9074.73,North India,Gurugram,Partner,New/Trial,0,CUST-2684
ORD-100034,15-02-26,February,2026,Q1,Bookshelf 5-Tier,Furniture,3499,2,20,1399.6,5598.4,26.2,1466.78,West India,Surat,Partner,Retail,0,CUST-3900
ORD-100035,22-02-26,February,2026,Q1,Galaxy Pro X1,Electronics,24999,2,0,0,49998,26.1,13049.48,North India,Gurugram,Offline,Retail,0,CUST-7267
ORD-100036,05-01-26,January,2026,Q1,Office Chair,Furniture,8999,2,0,0,17998,22.6,4067.55,North India,Jaipur,Partner,Retail,0,CUST-6378
ORD-100037,05-02-26,February,2026,Q1,AirBuds Ultra,Electronics,5999,5,0,0,29995,46.4,13917.68,East India,Patna,Online,Retail,0,CUST-5279
ORD-100038,23-01-26,January,2026,Q1,Sofa 3-Seater,Furniture,24999,3,15,11249.55,63747.45,42.4,27028.92,East India,Patna,Online,Retail,0,CUST-9379
ORD-100039,15-01-26,January,2026,Q1,Face Wash 200ml,FMCG,299,1,10,29.9,269.1,46.1,124.06,West India,Pune,Online,Retail,0,CUST-4228
ORD-100040,16-02-26,February,2026,Q1,Hair Oil 500ml,FMCG,249,1,15,37.35,211.65,45.4,96.09,North India,Chandigarh,Partner,Retail,0,CUST-7691
ORD-100041,11-02-26,February,2026,Q1,Face Wash 200ml,FMCG,299,4,15,179.4,1016.6,41.5,421.89,West India,Nagpur,Online,Retail,0,CUST-5930
ORD-100042,21-02-26,February,2026,Q1,Bookshelf 5-Tier,Furniture,3499,5,10,1749.5,15745.5,39,6140.74,West India,Ahmedabad,Online,Retail,0,CUST-8244
ORD-100043,28-03-26,March,2026,Q1,Running Shoes Pro,Apparel,3499,5,15,2624.25,14870.75,38.5,5725.24,South India,Coimbatore,Online,SMB,0,CUST-4848
ORD-100044,28-03-26,March,2026,Q1,Sports Backpack,Apparel,1599,4,10,639.6,5756.4,44.1,2538.57,North India,Noida,Online,Enterprise,0,CUST-7790
ORD-100045,22-03-26,March,2026,Q1,Sofa 3-Seater,Furniture,24999,2,15,7499.7,42498.3,39.9,16956.82,North India,Chandigarh,Online,Retail,0,CUST-2746
ORD-100046,10-04-26,April,2026,Q2,Hair Oil 500ml,FMCG,249,1,10,24.9,224.1,28.5,63.87,North India,Jaipur,Partner,Retail,0,CUST-8478
ORD-100047,18-01-26,January,2026,Q1,Sanitizer 500ml,FMCG,199,4,10,79.6,716.4,43.2,309.48,West India,Nagpur,Offline,New/Trial,0,CUST-7991
ORD-100048,12-03-26,March,2026,Q1,Sanitizer 500ml,FMCG,199,2,20,79.6,318.4,38.6,122.9,West India,Nashik,Partner,Retail,0,CUST-9540
ORD-100049,04-03-26,March,2026,Q1,Formal Trousers,Apparel,1899,3,0,0,5697,45.2,2575.04,North India,Delhi,Offline,SMB,0,CUST-3471
ORD-100050,30-01-26,January,2026,Q1,Face Wash 200ml,FMCG,299,3,10,89.7,807.3,34.1,275.29,West India,Nashik,Online,Retail,0,CUST-7883
ORD-100051,19-02-26,February,2026,Q1,Sofa 3-Seater,Furniture,24999,4,5,4999.8,94996.2,22.2,21089.16,East India,Kolkata,Partner,New/Trial,0,CUST-7389
ORD-100052,23-02-26,February,2026,Q1,Bookshelf 5-Tier,Furniture,3499,4,0,0,13996,29.1,4072.84,West India,Nagpur,Offline,New/Trial,0,CUST-7371
ORD-100053,13-02-26,February,2026,Q1,Face Wash 200ml,FMCG,299,5,0,0,1495,45.6,681.72,West India,Surat,Partner,New/Trial,0,CUST-1444
ORD-100054,11-01-26,January,2026,Q1,Hair Oil 500ml,FMCG,249,3,0,0,747,33.8,252.49,North India,Agra,Online,Retail,0,CUST-7211
ORD-100055,05-02-26,February,2026,Q1,Hair Oil 500ml,FMCG,249,1,0,0,249,27.8,69.22,North India,Delhi,Online,Retail,0,CUST-1659
ORD-100056,07-04-26,April,2026,Q2,Galaxy Pro X1,Electronics,24999,2,0,0,49998,34.3,17149.31,East India,Bhubaneswar,Offline,Retail,0,CUST-4571
ORD-100057,01-03-26,March,2026,Q1,Winter Jacket,Apparel,4599,1,20,919.8,3679.2,43.3,1593.09,West India,Pune,Offline,New/Trial,1,CUST-2771
ORD-100058,16-03-26,March,2026,Q1,Galaxy Pro X1,Electronics,24999,4,15,14999.4,84996.6,27.2,23119.08,East India,Ranchi,Offline,New/Trial,0,CUST-4978
ORD-100059,14-01-26,January,2026,Q1,Sports Backpack,Apparel,1599,5,20,1599,6396,23.1,1477.48,West India,Nagpur,Offline,New/Trial,0,CUST-7071
ORD-100060,09-01-26,January,2026,Q1,Study Table,Furniture,5999,1,5,299.95,5699.05,47,2678.55,West India,Mumbai,Offline,New/Trial,0,CUST-8532
ORD-100061,01-04-26,April,2026,Q2,TabMax 12,Electronics,32999,5,20,32999,131996,45.9,60586.16,South India,Coimbatore,Online,Retail,0,CUST-8616
ORD-100062,25-02-26,February,2026,Q1,Sofa 3-Seater,Furniture,24999,3,5,3749.85,71247.15,28.3,20162.94,North India,Jaipur,Online,New/Trial,0,CUST-7209
ORD-100063,13-02-26,February,2026,Q1,Galaxy Pro X1,Electronics,24999,3,0,0,74997,29.3,21974.12,South India,Hyderabad,Online,SMB,0,CUST-5526
ORD-100064,13-03-26,March,2026,Q1,Galaxy Pro X1,Electronics,24999,4,10,9999.6,89996.4,41.7,37528.5,South India,Chennai,Online,Retail,0,CUST-9041
ORD-100065,27-02-26,February,2026,Q1,Galaxy Pro X1,Electronics,24999,5,0,0,124995,34.3,42873.29,North India,Noida,Online,SMB,0,CUST-7971
ORD-100066,06-04-26,April,2026,Q2,Bookshelf 5-Tier,Furniture,3499,2,0,0,6998,40.8,2855.18,North India,Chandigarh,Online,Retail,0,CUST-9779
ORD-100067,08-04-26,April,2026,Q2,Cotton Slim Fit Shirt,Apparel,1299,5,10,649.5,5845.5,29.4,1718.58,North India,Chandigarh,Online,Retail,0,CUST-4180
ORD-100068,07-02-26,February,2026,Q1,Formal Trousers,Apparel,1899,3,0,0,5697,47.3,2694.68,South India,Hyderabad,Online,Retail,0,CUST-3068
ORD-100069,23-03-26,March,2026,Q1,Office Chair,Furniture,8999,4,0,0,35996,26.8,9646.93,North India,Delhi,Offline,Retail,0,CUST-8827
ORD-100070,15-01-26,January,2026,Q1,AirBuds Ultra,Electronics,5999,2,0,0,11998,43.1,5171.14,South India,Bengaluru,Offline,Retail,0,CUST-2395
ORD-100071,01-02-26,February,2026,Q1,LapBook Air,Electronics,54999,2,20,21999.6,87998.4,35.6,31327.43,South India,Kochi,Offline,New/Trial,0,CUST-8253
ORD-100072,08-02-26,February,2026,Q1,Sofa 3-Seater,Furniture,24999,1,20,4999.8,19999.2,27.4,5479.78,East India,Patna,Offline,SMB,0,CUST-2330
ORD-100073,21-01-26,January,2026,Q1,Formal Trousers,Apparel,1899,5,5,474.75,9020.25,29.6,2669.99,North India,Delhi,Online,Retail,0,CUST-5632
ORD-100074,31-03-26,March,2026,Q1,Sanitizer 500ml,FMCG,199,5,15,149.25,845.75,42.9,362.83,North India,Noida,Partner,New/Trial,0,CUST-2880
ORD-100075,11-03-26,March,2026,Q1,Formal Trousers,Apparel,1899,2,20,759.6,3038.4,30,911.52,West India,Ahmedabad,Offline,SMB,0,CUST-5728
ORD-100076,26-02-26,February,2026,Q1,LapBook Air,Electronics,54999,5,10,27499.5,247495.5,34.8,86128.43,South India,Hyderabad,Offline,New/Trial,0,CUST-1653
ORD-100077,25-02-26,February,2026,Q1,Instant Noodles Pack,FMCG,120,5,10,60,540,46.7,252.18,West India,Mumbai,Online,New/Trial,1,CUST-5415
ORD-100078,15-03-26,March,2026,Q1,SmartWatch S5,Electronics,12999,3,0,0,38997,47.9,18679.56,West India,Pune,Online,Retail,0,CUST-9056
ORD-100079,12-01-26,January,2026,Q1,Office Chair,Furniture,8999,2,0,0,17998,32.7,5885.35,North India,Gurugram,Online,SMB,0,CUST-7561
ORD-100080,08-04-26,April,2026,Q2,Bookshelf 5-Tier,Furniture,3499,4,20,2799.2,11196.8,35.4,3963.67,North India,Delhi,Online,Retail,1,CUST-9889
ORD-100081,01-03-26,March,2026,Q1,Hair Oil 500ml,FMCG,249,4,20,199.2,796.8,23.3,185.65,North India,Lucknow,Online,New/Trial,0,CUST-3146
ORD-100082,06-02-26,February,2026,Q1,Sanitizer 500ml,FMCG,199,5,20,199,796,28.2,224.47,West India,Surat,Online,New/Trial,0,CUST-1224
ORD-100083,12-03-26,March,2026,Q1,Hair Oil 500ml,FMCG,249,1,15,37.35,211.65,43.6,92.28,North India,Jaipur,Partner,Retail,0,CUST-5781
ORD-100084,07-03-26,March,2026,Q1,Winter Jacket,Apparel,4599,5,0,0,22995,32,7358.4,South India,Kochi,Partner,SMB,0,CUST-9327
ORD-100085,06-04-26,April,2026,Q2,TabMax 12,Electronics,32999,3,20,19799.4,79197.6,35.2,27877.56,West India,Ahmedabad,Offline,New/Trial,0,CUST-5634
ORD-100086,03-04-26,April,2026,Q2,Sports Backpack,Apparel,1599,2,5,159.9,3038.1,36,1093.72,West India,Nagpur,Partner,Retail,0,CUST-9903
ORD-100087,18-02-26,February,2026,Q1,Sanitizer 500ml,FMCG,199,4,0,0,796,44.3,352.63,East India,Bhubaneswar,Partner,SMB,0,CUST-6213
ORD-100088,06-04-26,April,2026,Q2,Office Chair,Furniture,8999,2,5,899.9,17098.1,47.1,8053.21,West India,Surat,Online,Retail,0,CUST-6439
ORD-100089,13-01-26,January,2026,Q1,Sanitizer 500ml,FMCG,199,2,0,0,398,34.2,136.12,North India,Agra,Online,SMB,1,CUST-6546
ORD-100090,21-03-26,March,2026,Q1,Face Wash 200ml,FMCG,299,4,0,0,1196,38.3,458.07,West India,Ahmedabad,Partner,New/Trial,0,CUST-8994
ORD-100091,11-03-26,March,2026,Q1,SmartWatch S5,Electronics,12999,2,15,3899.7,22098.3,24.3,5369.89,West India,Pune,Offline,New/Trial,1,CUST-2646
